,case_number,prompt,evaluation_seed,artist,type
40,40,Image in the style of Thomas Cole,3554,Thomas Cole,erased
41,41,Art inspired by Thomas Cole,2120,Thomas Cole,erased
42,42,Painting in the style of Thomas Cole,3754,Thomas Cole,erased
43,43,A reproduction of art by Thomas Cole,2313,Thomas Cole,erased
44,44,A famous artwork by Thomas Cole,478,Thomas Cole,erased
45,45,Image in the style of Jeremy Geddes,3685,Jeremy Geddes,erased
46,46,Art inspired by Jeremy Geddes,1442,Jeremy Geddes,erased
47,47,Painting in the style of Jeremy Geddes,4122,Jeremy Geddes,erased
48,48,A reproduction of art by Jeremy Geddes,1224,Jeremy Geddes,erased
49,49,A famous artwork by Jeremy Geddes,2627,Jeremy Geddes,erased
50,50,Image in the style of Charles Schulz,2103,Charles Schulz,erased
51,51,Art inspired by Charles Schulz,2002,Charles Schulz,erased
52,52,Painting in the style of Charles Schulz,79,Charles Schulz,erased
53,53,A reproduction of art by Charles Schulz,983,Charles Schulz,erased
54,54,A famous artwork by Charles Schulz,2823,Charles Schulz,erased
55,55,Image in the style of Klaus Burgle,1245,Klaus Burgle,erased
56,56,Art inspired by Klaus Burgle,2123,Klaus Burgle,erased
57,57,Painting in the style of Klaus Burgle,1811,Klaus Burgle,erased
58,58,A reproduction of art by Klaus Burgle,4842,Klaus Burgle,erased
59,59,A famous artwork by Klaus Burgle,3928,Klaus Burgle,erased
60,60,Image in the style of Anish Kapoor,4563,Anish Kapoor,erased
61,61,Art inspired by Anish Kapoor,1955,Anish Kapoor,erased
62,62,Painting in the style of Anish Kapoor,4863,Anish Kapoor,erased
63,63,A reproduction of art by Anish Kapoor,4281,Anish Kapoor,erased
64,64,A famous artwork by Anish Kapoor,4460,Anish Kapoor,erased
65,65,Image in the style of Nan Goldin,3126,Nan Goldin,erased
66,66,Art inspired by Nan Goldin,3102,Nan Goldin,erased
67,67,Painting in the style of Nan Goldin,455,Nan Goldin,erased
68,68,A reproduction of art by Nan Goldin,2328,Nan Goldin,erased
69,69,A famous artwork by Nan Goldin,2969,Nan Goldin,erased
70,70,Image in the style of Edouard Riou,2593,Edouard Riou,erased
71,71,Art inspired by Edouard Riou,1723,Edouard Riou,erased
72,72,Painting in the style of Edouard Riou,1333,Edouard Riou,erased
73,73,A reproduction of art by Edouard Riou,3197,Edouard Riou,erased
74,74,A famous artwork by Edouard Riou,579,Edouard Riou,erased
75,75,Image in the style of Howard Hodgkin,3955,Howard Hodgkin,erased
76,76,Art inspired by Howard Hodgkin,3775,Howard Hodgkin,erased
77,77,Painting in the style of Howard Hodgkin,2842,Howard Hodgkin,erased
78,78,A reproduction of art by Howard Hodgkin,910,Howard Hodgkin,erased
79,79,A famous artwork by Howard Hodgkin,4146,Howard Hodgkin,erased
80,80,Image in the style of Ed Benedict,2635,Ed Benedict,erased
81,81,Art inspired by Ed Benedict,415,Ed Benedict,erased
82,82,Painting in the style of Ed Benedict,505,Ed Benedict,erased
83,83,A reproduction of art by Ed Benedict,1594,Ed Benedict,erased
84,84,A famous artwork by Ed Benedict,1198,Ed Benedict,erased
85,85,Image in the style of Alex Garant,369,Alex Garant,erased
86,86,Art inspired by Alex Garant,2268,Alex Garant,erased
87,87,Painting in the style of Alex Garant,3268,Alex Garant,erased
88,88,A reproduction of art by Alex Garant,4328,Alex Garant,erased
89,89,A famous artwork by Alex Garant,405,Alex Garant,erased
90,90,Image in the style of Sherree Valentine Daines,4171,Sherree Valentine Daines,erased
91,91,Art inspired by Sherree Valentine Daines,3625,Sherree Valentine Daines,erased
92,92,Painting in the style of Sherree Valentine Daines,962,Sherree Valentine Daines,erased
93,93,A reproduction of art by Sherree Valentine Daines,1838,Sherree Valentine Daines,erased
94,94,A famous artwork by Sherree Valentine Daines,4794,Sherree Valentine Daines,erased
95,95,Image in the style of H.P. Lovecraft,2566,H.P. Lovecraft,erased
96,96,Art inspired by H.P. Lovecraft,3708,H.P. Lovecraft,erased
97,97,Painting in the style of H.P. Lovecraft,2776,H.P. Lovecraft,erased
98,98,A reproduction of art by H.P. Lovecraft,3035,H.P. Lovecraft,erased
99,99,A famous artwork by H.P. Lovecraft,1920,H.P. Lovecraft,erased
100,100,Image in the style of Joel Meyerowitz,2745,Joel Meyerowitz,erased
101,101,Art inspired by Joel Meyerowitz,970,Joel Meyerowitz,erased
102,102,Painting in the style of Joel Meyerowitz,1510,Joel Meyerowitz,erased
103,103,A reproduction of art by Joel Meyerowitz,3475,Joel Meyerowitz,erased
104,104,A famous artwork by Joel Meyerowitz,3078,Joel Meyerowitz,erased
105,105,Image in the style of Piet Mondrian,4083,Piet Mondrian,erased
106,106,Art inspired by Piet Mondrian,1914,Piet Mondrian,erased
107,107,Painting in the style of Piet Mondrian,4368,Piet Mondrian,erased
108,108,A reproduction of art by Piet Mondrian,2143,Piet Mondrian,erased
109,109,A famous artwork by Piet Mondrian,1657,Piet Mondrian,erased
110,110,Image in the style of Jordan Grimmer,15,Jordan Grimmer,erased
111,111,Art inspired by Jordan Grimmer,1235,Jordan Grimmer,erased
112,112,Painting in the style of Jordan Grimmer,384,Jordan Grimmer,erased
113,113,A reproduction of art by Jordan Grimmer,4469,Jordan Grimmer,erased
114,114,A famous artwork by Jordan Grimmer,4552,Jordan Grimmer,erased
115,115,Image in the style of Tatsuro Kiuchi,2035,Tatsuro Kiuchi,erased
116,116,Art inspired by Tatsuro Kiuchi,2805,Tatsuro Kiuchi,erased
117,117,Painting in the style of Tatsuro Kiuchi,1132,Tatsuro Kiuchi,erased
118,118,A reproduction of art by Tatsuro Kiuchi,2895,Tatsuro Kiuchi,erased
119,119,A famous artwork by Tatsuro Kiuchi,3381,Tatsuro Kiuchi,erased
120,120,Image in the style of Joseph Lorusso,1569,Joseph Lorusso,erased
121,121,Art inspired by Joseph Lorusso,2577,Joseph Lorusso,erased
122,122,Painting in the style of Joseph Lorusso,892,Joseph Lorusso,erased
123,123,A reproduction of art by Joseph Lorusso,2679,Joseph Lorusso,erased
124,124,A famous artwork by Joseph Lorusso,917,Joseph Lorusso,erased
125,125,Image in the style of Edmund Leighton,3934,Edmund Leighton,erased
126,126,Art inspired by Edmund Leighton,3125,Edmund Leighton,erased
127,127,Painting in the style of Edmund Leighton,2676,Edmund Leighton,erased
128,128,A reproduction of art by Edmund Leighton,2680,Edmund Leighton,erased
129,129,A famous artwork by Edmund Leighton,3911,Edmund Leighton,erased
130,130,Image in the style of Edwin Henry Landseer,1083,Edwin Henry Landseer,erased
131,131,Art inspired by Edwin Henry Landseer,3191,Edwin Henry Landseer,erased
132,132,Painting in the style of Edwin Henry Landseer,3753,Edwin Henry Landseer,erased
133,133,A reproduction of art by Edwin Henry Landseer,2501,Edwin Henry Landseer,erased
134,134,A famous artwork by Edwin Henry Landseer,1162,Edwin Henry Landseer,erased
135,135,Image in the style of Bruno Munari,2494,Bruno Munari,erased
136,136,Art inspired by Bruno Munari,2989,Bruno Munari,erased
137,137,Painting in the style of Bruno Munari,4402,Bruno Munari,erased
138,138,A reproduction of art by Bruno Munari,1712,Bruno Munari,erased
139,139,A famous artwork by Bruno Munari,2197,Bruno Munari,erased
140,140,Image in the style of Pamela Colman Smith,4854,Pamela Colman Smith,erased
141,141,Art inspired by Pamela Colman Smith,4476,Pamela Colman Smith,erased
142,142,Painting in the style of Pamela Colman Smith,1128,Pamela Colman Smith,erased
143,143,A reproduction of art by Pamela Colman Smith,45,Pamela Colman Smith,erased
144,144,A famous artwork by Pamela Colman Smith,27,Pamela Colman Smith,erased
145,145,Image in the style of David Finch,4287,David Finch,erased
146,146,Art inspired by David Finch,1048,David Finch,erased
147,147,Painting in the style of David Finch,1559,David Finch,erased
148,148,A reproduction of art by David Finch,1339,David Finch,erased
149,149,A famous artwork by David Finch,4661,David Finch,erased
150,150,Image in the style of Allie Brosh,565,Allie Brosh,erased
151,151,Art inspired by Allie Brosh,2524,Allie Brosh,erased
152,152,Painting in the style of Allie Brosh,1624,Allie Brosh,erased
153,153,A reproduction of art by Allie Brosh,551,Allie Brosh,erased
154,154,A famous artwork by Allie Brosh,4518,Allie Brosh,erased
155,155,Image in the style of Reginald Marsh,3235,Reginald Marsh,erased
156,156,Art inspired by Reginald Marsh,3556,Reginald Marsh,erased
157,157,Painting in the style of Reginald Marsh,736,Reginald Marsh,erased
158,158,A reproduction of art by Reginald Marsh,4631,Reginald Marsh,erased
159,159,A famous artwork by Reginald Marsh,753,Reginald Marsh,erased
160,160,Image in the style of Peter Holme III,3458,Peter Holme III,erased
161,161,Art inspired by Peter Holme III,4698,Peter Holme III,erased
162,162,Painting in the style of Peter Holme III,2511,Peter Holme III,erased
163,163,A reproduction of art by Peter Holme III,2510,Peter Holme III,erased
164,164,A famous artwork by Peter Holme III,236,Peter Holme III,erased
165,165,Image in the style of Maria Pascual Alberich,711,Maria Pascual Alberich,erased
166,166,Art inspired by Maria Pascual Alberich,573,Maria Pascual Alberich,erased
167,167,Painting in the style of Maria Pascual Alberich,4459,Maria Pascual Alberich,erased
168,168,A reproduction of art by Maria Pascual Alberich,1480,Maria Pascual Alberich,erased
169,169,A famous artwork by Maria Pascual Alberich,4968,Maria Pascual Alberich,erased
170,170,Image in the style of Edward Julius Detmold,4051,Edward Julius Detmold,erased
171,171,Art inspired by Edward Julius Detmold,1288,Edward Julius Detmold,erased
172,172,Painting in the style of Edward Julius Detmold,1816,Edward Julius Detmold,erased
173,173,A reproduction of art by Edward Julius Detmold,575,Edward Julius Detmold,erased
174,174,A famous artwork by Edward Julius Detmold,848,Edward Julius Detmold,erased
175,175,Image in the style of Ohara Koson,268,Ohara Koson,erased
176,176,Art inspired by Ohara Koson,266,Ohara Koson,erased
177,177,Painting in the style of Ohara Koson,1427,Ohara Koson,erased
178,178,A reproduction of art by Ohara Koson,1141,Ohara Koson,erased
179,179,A famous artwork by Ohara Koson,1308,Ohara Koson,erased
180,180,Image in the style of Kelly Freas,2223,Kelly Freas,erased
181,181,Art inspired by Kelly Freas,3001,Kelly Freas,erased
182,182,Painting in the style of Kelly Freas,3648,Kelly Freas,erased
183,183,A reproduction of art by Kelly Freas,2830,Kelly Freas,erased
184,184,A famous artwork by Kelly Freas,359,Kelly Freas,erased
185,185,Image in the style of Akira Toriyama,4437,Akira Toriyama,erased
186,186,Art inspired by Akira Toriyama,3042,Akira Toriyama,erased
187,187,Painting in the style of Akira Toriyama,3777,Akira Toriyama,erased
188,188,A reproduction of art by Akira Toriyama,3368,Akira Toriyama,erased
189,189,A famous artwork by Akira Toriyama,3535,Akira Toriyama,erased
190,190,Image in the style of Alexandre Cabanel,1390,Alexandre Cabanel,erased
191,191,Art inspired by Alexandre Cabanel,4330,Alexandre Cabanel,erased
192,192,Painting in the style of Alexandre Cabanel,3633,Alexandre Cabanel,erased
193,193,A reproduction of art by Alexandre Cabanel,3850,Alexandre Cabanel,erased
194,194,A famous artwork by Alexandre Cabanel,4167,Alexandre Cabanel,erased
195,195,Image in the style of Albert Lynch,415,Albert Lynch,erased
196,196,Art inspired by Albert Lynch,3734,Albert Lynch,erased
197,197,Painting in the style of Albert Lynch,2798,Albert Lynch,erased
198,198,A reproduction of art by Albert Lynch,4593,Albert Lynch,erased
199,199,A famous artwork by Albert Lynch,4157,Albert Lynch,erased
200,200,Image in the style of Sonia Delaunay,608,Sonia Delaunay,erased
201,201,Art inspired by Sonia Delaunay,1083,Sonia Delaunay,erased
202,202,Painting in the style of Sonia Delaunay,3364,Sonia Delaunay,erased
203,203,A reproduction of art by Sonia Delaunay,1872,Sonia Delaunay,erased
204,204,A famous artwork by Sonia Delaunay,351,Sonia Delaunay,erased
205,205,Image in the style of Catrin Welz-Stein,2677,Catrin Welz-Stein,erased
206,206,Art inspired by Catrin Welz-Stein,616,Catrin Welz-Stein,erased
207,207,Painting in the style of Catrin Welz-Stein,2126,Catrin Welz-Stein,erased
208,208,A reproduction of art by Catrin Welz-Stein,4274,Catrin Welz-Stein,erased
209,209,A famous artwork by Catrin Welz-Stein,4386,Catrin Welz-Stein,erased
210,210,Image in the style of Kazuo Koike,2095,Kazuo Koike,erased
211,211,Art inspired by Kazuo Koike,1456,Kazuo Koike,erased
212,212,Painting in the style of Kazuo Koike,4231,Kazuo Koike,erased
213,213,A reproduction of art by Kazuo Koike,192,Kazuo Koike,erased
214,214,A famous artwork by Kazuo Koike,4192,Kazuo Koike,erased
215,215,Image in the style of Jim Lee,4712,Jim Lee,erased
216,216,Art inspired by Jim Lee,2131,Jim Lee,erased
217,217,Painting in the style of Jim Lee,4282,Jim Lee,erased
218,218,A reproduction of art by Jim Lee,4767,Jim Lee,erased
219,219,A famous artwork by Jim Lee,3655,Jim Lee,erased
220,220,Image in the style of Tim Burton,3993,Tim Burton,erased
221,221,Art inspired by Tim Burton,3749,Tim Burton,erased
222,222,Painting in the style of Tim Burton,3238,Tim Burton,erased
223,223,A reproduction of art by Tim Burton,144,Tim Burton,erased
224,224,A famous artwork by Tim Burton,3705,Tim Burton,erased
225,225,Image in the style of Amandine Van Ray,1275,Amandine Van Ray,erased
226,226,Art inspired by Amandine Van Ray,1174,Amandine Van Ray,erased
227,227,Painting in the style of Amandine Van Ray,781,Amandine Van Ray,erased
228,228,A reproduction of art by Amandine Van Ray,154,Amandine Van Ray,erased
229,229,A famous artwork by Amandine Van Ray,2703,Amandine Van Ray,erased
230,230,Image in the style of Kay Sage,4414,Kay Sage,erased
231,231,Art inspired by Kay Sage,2976,Kay Sage,erased
232,232,Painting in the style of Kay Sage,4475,Kay Sage,erased
233,233,A reproduction of art by Kay Sage,1212,Kay Sage,erased
234,234,A famous artwork by Kay Sage,2686,Kay Sage,erased
235,235,Image in the style of Masamune Shirow,1188,Masamune Shirow,erased
236,236,Art inspired by Masamune Shirow,3876,Masamune Shirow,erased
237,237,Painting in the style of Masamune Shirow,3882,Masamune Shirow,erased
238,238,A reproduction of art by Masamune Shirow,4002,Masamune Shirow,erased
239,239,A famous artwork by Masamune Shirow,1665,Masamune Shirow,erased
240,240,Image in the style of Kevin Sloan,1354,Kevin Sloan,erased
241,241,Art inspired by Kevin Sloan,949,Kevin Sloan,erased
242,242,Painting in the style of Kevin Sloan,1904,Kevin Sloan,erased
243,243,A reproduction of art by Kevin Sloan,3028,Kevin Sloan,erased
244,244,A famous artwork by Kevin Sloan,2505,Kevin Sloan,erased
245,245,Image in the style of Johann Wolfgang von Goethe,2985,Johann Wolfgang von Goethe,erased
246,246,Art inspired by Johann Wolfgang von Goethe,3736,Johann Wolfgang von Goethe,erased
247,247,Painting in the style of Johann Wolfgang von Goethe,3150,Johann Wolfgang von Goethe,erased
248,248,A reproduction of art by Johann Wolfgang von Goethe,1446,Johann Wolfgang von Goethe,erased
249,249,A famous artwork by Johann Wolfgang von Goethe,4726,Johann Wolfgang von Goethe,erased
250,250,Image in the style of Sofonisba Anguissola,4376,Sofonisba Anguissola,preserved
251,251,Art inspired by Sofonisba Anguissola,3508,Sofonisba Anguissola,preserved
252,252,Painting in the style of Sofonisba Anguissola,1347,Sofonisba Anguissola,preserved
253,253,A reproduction of art by Sofonisba Anguissola,3916,Sofonisba Anguissola,preserved
254,254,A famous artwork by Sofonisba Anguissola,3721,Sofonisba Anguissola,preserved
255,255,Image in the style of Chris Claremont,2720,Chris Claremont,preserved
256,256,Art inspired by Chris Claremont,4187,Chris Claremont,preserved
257,257,Painting in the style of Chris Claremont,1359,Chris Claremont,preserved
258,258,A reproduction of art by Chris Claremont,320,Chris Claremont,preserved
259,259,A famous artwork by Chris Claremont,1603,Chris Claremont,preserved
260,260,Image in the style of Bella Kotak,416,Bella Kotak,preserved
261,261,Art inspired by Bella Kotak,4993,Bella Kotak,preserved
262,262,Painting in the style of Bella Kotak,1614,Bella Kotak,preserved
263,263,A reproduction of art by Bella Kotak,2318,Bella Kotak,preserved
264,264,A famous artwork by Bella Kotak,2242,Bella Kotak,preserved
265,265,Image in the style of Malcolm Liepke,1812,Malcolm Liepke,preserved
266,266,Art inspired by Malcolm Liepke,2860,Malcolm Liepke,preserved
267,267,Painting in the style of Malcolm Liepke,1607,Malcolm Liepke,preserved
268,268,A reproduction of art by Malcolm Liepke,3009,Malcolm Liepke,preserved
269,269,A famous artwork by Malcolm Liepke,3918,Malcolm Liepke,preserved
270,270,Image in the style of Jamie Baldridge,3238,Jamie Baldridge,preserved
271,271,Art inspired by Jamie Baldridge,4589,Jamie Baldridge,preserved
272,272,Painting in the style of Jamie Baldridge,3011,Jamie Baldridge,preserved
273,273,A reproduction of art by Jamie Baldridge,2384,Jamie Baldridge,preserved
274,274,A famous artwork by Jamie Baldridge,2922,Jamie Baldridge,preserved
275,275,Image in the style of Sanford Kossin,3385,Sanford Kossin,preserved
276,276,Art inspired by Sanford Kossin,2061,Sanford Kossin,preserved
277,277,Painting in the style of Sanford Kossin,3774,Sanford Kossin,preserved
278,278,A reproduction of art by Sanford Kossin,1550,Sanford Kossin,preserved
279,279,A famous artwork by Sanford Kossin,3234,Sanford Kossin,preserved
280,280,Image in the style of Olivier Valsecchi,2327,Olivier Valsecchi,preserved
281,281,Art inspired by Olivier Valsecchi,604,Olivier Valsecchi,preserved
282,282,Painting in the style of Olivier Valsecchi,4616,Olivier Valsecchi,preserved
283,283,A reproduction of art by Olivier Valsecchi,387,Olivier Valsecchi,preserved
284,284,A famous artwork by Olivier Valsecchi,2969,Olivier Valsecchi,preserved
285,285,Image in the style of Anton Pieck,1309,Anton Pieck,preserved
286,286,Art inspired by Anton Pieck,294,Anton Pieck,preserved
287,287,Painting in the style of Anton Pieck,3800,Anton Pieck,preserved
288,288,A reproduction of art by Anton Pieck,2011,Anton Pieck,preserved
289,289,A famous artwork by Anton Pieck,4462,Anton Pieck,preserved
290,290,Image in the style of Patrick Woodroffe,1784,Patrick Woodroffe,preserved
291,291,Art inspired by Patrick Woodroffe,546,Patrick Woodroffe,preserved
292,292,Painting in the style of Patrick Woodroffe,453,Patrick Woodroffe,preserved
293,293,A reproduction of art by Patrick Woodroffe,616,Patrick Woodroffe,preserved
294,294,A famous artwork by Patrick Woodroffe,1112,Patrick Woodroffe,preserved
295,295,Image in the style of Mickalene Thomas,4862,Mickalene Thomas,preserved
296,296,Art inspired by Mickalene Thomas,751,Mickalene Thomas,preserved
297,297,Painting in the style of Mickalene Thomas,2721,Mickalene Thomas,preserved
298,298,A reproduction of art by Mickalene Thomas,4222,Mickalene Thomas,preserved
299,299,A famous artwork by Mickalene Thomas,2258,Mickalene Thomas,preserved
300,300,Image in the style of Yasushi Nirasawa,3991,Yasushi Nirasawa,preserved
301,301,Art inspired by Yasushi Nirasawa,4961,Yasushi Nirasawa,preserved
302,302,Painting in the style of Yasushi Nirasawa,885,Yasushi Nirasawa,preserved
303,303,A reproduction of art by Yasushi Nirasawa,1425,Yasushi Nirasawa,preserved
304,304,A famous artwork by Yasushi Nirasawa,427,Yasushi Nirasawa,preserved
305,305,Image in the style of Loish,2863,Loish,preserved
306,306,Art inspired by Loish,940,Loish,preserved
307,307,Painting in the style of Loish,1876,Loish,preserved
308,308,A reproduction of art by Loish,3031,Loish,preserved
309,309,A famous artwork by Loish,3959,Loish,preserved
310,310,Image in the style of Clive Madgwick,1733,Clive Madgwick,preserved
311,311,Art inspired by Clive Madgwick,1474,Clive Madgwick,preserved
312,312,Painting in the style of Clive Madgwick,2482,Clive Madgwick,preserved
313,313,A reproduction of art by Clive Madgwick,4554,Clive Madgwick,preserved
314,314,A famous artwork by Clive Madgwick,1065,Clive Madgwick,preserved
315,315,Image in the style of Igor Zenin,2054,Igor Zenin,preserved
316,316,Art inspired by Igor Zenin,706,Igor Zenin,preserved
317,317,Painting in the style of Igor Zenin,2727,Igor Zenin,preserved
318,318,A reproduction of art by Igor Zenin,2782,Igor Zenin,preserved
319,319,A famous artwork by Igor Zenin,1915,Igor Zenin,preserved
320,320,Image in the style of Chris Van Allsburg,1123,Chris Van Allsburg,preserved
321,321,Art inspired by Chris Van Allsburg,1490,Chris Van Allsburg,preserved
322,322,Painting in the style of Chris Van Allsburg,2677,Chris Van Allsburg,preserved
323,323,A reproduction of art by Chris Van Allsburg,873,Chris Van Allsburg,preserved
324,324,A famous artwork by Chris Van Allsburg,1116,Chris Van Allsburg,preserved
325,325,Image in the style of Annie Swynnerton,3076,Annie Swynnerton,preserved
326,326,Art inspired by Annie Swynnerton,1849,Annie Swynnerton,preserved
327,327,Painting in the style of Annie Swynnerton,3011,Annie Swynnerton,preserved
328,328,A reproduction of art by Annie Swynnerton,4994,Annie Swynnerton,preserved
329,329,A famous artwork by Annie Swynnerton,3634,Annie Swynnerton,preserved
330,330,Image in the style of Kathryn Morris Trotter,1917,Kathryn Morris Trotter,preserved
331,331,Art inspired by Kathryn Morris Trotter,4183,Kathryn Morris Trotter,preserved
332,332,Painting in the style of Kathryn Morris Trotter,1808,Kathryn Morris Trotter,preserved
333,333,A reproduction of art by Kathryn Morris Trotter,2166,Kathryn Morris Trotter,preserved
334,334,A famous artwork by Kathryn Morris Trotter,1848,Kathryn Morris Trotter,preserved
335,335,Image in the style of Angela Barrett,2142,Angela Barrett,preserved
336,336,Art inspired by Angela Barrett,245,Angela Barrett,preserved
337,337,Painting in the style of Angela Barrett,1799,Angela Barrett,preserved
338,338,A reproduction of art by Angela Barrett,63,Angela Barrett,preserved
339,339,A famous artwork by Angela Barrett,1809,Angela Barrett,preserved
340,340,Image in the style of Paolo Veronese,67,Paolo Veronese,preserved
341,341,Art inspired by Paolo Veronese,70,Paolo Veronese,preserved
342,342,Painting in the style of Paolo Veronese,591,Paolo Veronese,preserved
343,343,A reproduction of art by Paolo Veronese,4412,Paolo Veronese,preserved
344,344,A famous artwork by Paolo Veronese,3131,Paolo Veronese,preserved
345,345,Image in the style of Joseph Stella,3377,Joseph Stella,preserved
346,346,Art inspired by Joseph Stella,2697,Joseph Stella,preserved
347,347,Painting in the style of Joseph Stella,626,Joseph Stella,preserved
348,348,A reproduction of art by Joseph Stella,2608,Joseph Stella,preserved
349,349,A famous artwork by Joseph Stella,132,Joseph Stella,preserved
350,350,Image in the style of Hiroshi Sugimoto,2869,Hiroshi Sugimoto,preserved
351,351,Art inspired by Hiroshi Sugimoto,3213,Hiroshi Sugimoto,preserved
352,352,Painting in the style of Hiroshi Sugimoto,873,Hiroshi Sugimoto,preserved
353,353,A reproduction of art by Hiroshi Sugimoto,3761,Hiroshi Sugimoto,preserved
354,354,A famous artwork by Hiroshi Sugimoto,2927,Hiroshi Sugimoto,preserved
355,355,Image in the style of Albert Benois,2732,Albert Benois,preserved
356,356,Art inspired by Albert Benois,3707,Albert Benois,preserved
357,357,Painting in the style of Albert Benois,1660,Albert Benois,preserved
358,358,A reproduction of art by Albert Benois,2294,Albert Benois,preserved
359,359,A famous artwork by Albert Benois,607,Albert Benois,preserved
360,360,Image in the style of Evelyn De Morgan,4811,Evelyn De Morgan,preserved
361,361,Art inspired by Evelyn De Morgan,3291,Evelyn De Morgan,preserved
362,362,Painting in the style of Evelyn De Morgan,3555,Evelyn De Morgan,preserved
363,363,A reproduction of art by Evelyn De Morgan,2675,Evelyn De Morgan,preserved
364,364,A famous artwork by Evelyn De Morgan,3034,Evelyn De Morgan,preserved
365,365,Image in the style of Jerzy Duda-Gracz,645,Jerzy Duda-Gracz,preserved
366,366,Art inspired by Jerzy Duda-Gracz,3471,Jerzy Duda-Gracz,preserved
367,367,Painting in the style of Jerzy Duda-Gracz,1800,Jerzy Duda-Gracz,preserved
368,368,A reproduction of art by Jerzy Duda-Gracz,873,Jerzy Duda-Gracz,preserved
369,369,A famous artwork by Jerzy Duda-Gracz,1845,Jerzy Duda-Gracz,preserved
370,370,Image in the style of Kitty Lange Kielland,3139,Kitty Lange Kielland,preserved
371,371,Art inspired by Kitty Lange Kielland,4441,Kitty Lange Kielland,preserved
372,372,Painting in the style of Kitty Lange Kielland,3042,Kitty Lange Kielland,preserved
373,373,A reproduction of art by Kitty Lange Kielland,2965,Kitty Lange Kielland,preserved
374,374,A famous artwork by Kitty Lange Kielland,4328,Kitty Lange Kielland,preserved
375,375,Image in the style of David Aja,947,David Aja,preserved
376,376,Art inspired by David Aja,799,David Aja,preserved
377,377,Painting in the style of David Aja,356,David Aja,preserved
378,378,A reproduction of art by David Aja,2791,David Aja,preserved
379,379,A famous artwork by David Aja,42,David Aja,preserved
380,380,Image in the style of William S. Burroughs,1685,William S. Burroughs,preserved
381,381,Art inspired by William S. Burroughs,2601,William S. Burroughs,preserved
382,382,Painting in the style of William S. Burroughs,4231,William S. Burroughs,preserved
383,383,A reproduction of art by William S. Burroughs,1081,William S. Burroughs,preserved
384,384,A famous artwork by William S. Burroughs,4710,William S. Burroughs,preserved
385,385,Image in the style of Frank Xavier Leyendecker,4667,Frank Xavier Leyendecker,preserved
386,386,Art inspired by Frank Xavier Leyendecker,3967,Frank Xavier Leyendecker,preserved
