,case_number,prompt,evaluation_seed,artist,type
67,67,Painting in the style of John Wilhelm,2706,John Wilhelm,erased
68,68,A reproduction of art by John Wilhelm,702,John Wilhelm,erased
69,69,A famous artwork by John Wilhelm,3983,John Wilhelm,erased
70,70,Image in the style of Andrei Markin,3292,Andrei Markin,erased
71,71,Art inspired by Andrei Markin,3115,Andrei Markin,erased
72,72,Painting in the style of Andrei Markin,3224,Andrei Markin,erased
73,73,A reproduction of art by Andrei Markin,919,Andrei Markin,erased
74,74,A famous artwork by Andrei Markin,3748,Andrei Markin,erased
75,75,Image in the style of J. J. Grandville,4016,J. J. Grandville,erased
76,76,Art inspired by J. J. Grandville,2095,J. J. Grandville,erased
77,77,Painting in the style of J. J. Grandville,3401,J. J. Grandville,erased
78,78,A reproduction of art by J. J. Grandville,4529,J. J. Grandville,erased
79,79,A famous artwork by J. J. Grandville,1166,J. J. Grandville,erased
80,80,Image in the style of Robert M Cunningham,2730,Robert M Cunningham,erased
81,81,Art inspired by Robert M Cunningham,2320,Robert M Cunningham,erased
82,82,Painting in the style of Robert M Cunningham,1121,Robert M Cunningham,erased
83,83,A reproduction of art by Robert M Cunningham,833,Robert M Cunningham,erased
84,84,A famous artwork by Robert M Cunningham,28,Robert M Cunningham,erased
85,85,Image in the style of Alan Kenny,1716,Alan Kenny,erased
86,86,Art inspired by Alan Kenny,3155,Alan Kenny,erased
87,87,Painting in the style of Alan Kenny,3335,Alan Kenny,erased
88,88,A reproduction of art by Alan Kenny,3586,Alan Kenny,erased
89,89,A famous artwork by Alan Kenny,1721,Alan Kenny,erased
90,90,Image in the style of Albert Koetsier,4561,Albert Koetsier,erased
91,91,Art inspired by Albert Koetsier,2680,Albert Koetsier,erased
92,92,Painting in the style of Albert Koetsier,724,Albert Koetsier,erased
93,93,A reproduction of art by Albert Koetsier,2957,Albert Koetsier,erased
94,94,A famous artwork by Albert Koetsier,229,Albert Koetsier,erased
95,95,Image in the style of Anne Truitt,2121,Anne Truitt,erased
96,96,Art inspired by Anne Truitt,2560,Anne Truitt,erased
97,97,Painting in the style of Anne Truitt,4835,Anne Truitt,erased
98,98,A reproduction of art by Anne Truitt,4810,Anne Truitt,erased
99,99,A famous artwork by Anne Truitt,178,Anne Truitt,erased
100,100,Image in the style of Pablo Picasso,1593,Pablo Picasso,erased
101,101,Art inspired by Pablo Picasso,4773,Pablo Picasso,erased
102,102,Painting in the style of Pablo Picasso,2060,Pablo Picasso,erased
103,103,A reproduction of art by Pablo Picasso,3142,Pablo Picasso,erased
104,104,A famous artwork by Pablo Picasso,3776,Pablo Picasso,erased
105,105,Image in the style of C. R. W. Nevinson,1852,C. R. W. Nevinson,erased
106,106,Art inspired by C. R. W. Nevinson,5000,C. R. W. Nevinson,erased
107,107,Painting in the style of C. R. W. Nevinson,1266,C. R. W. Nevinson,erased
108,108,A reproduction of art by C. R. W. Nevinson,3317,C. R. W. Nevinson,erased
109,109,A famous artwork by C. R. W. Nevinson,2794,C. R. W. Nevinson,erased
110,110,Image in the style of Carl Gustav Carus,1363,Carl Gustav Carus,erased
111,111,Art inspired by Carl Gustav Carus,2900,Carl Gustav Carus,erased
112,112,Painting in the style of Carl Gustav Carus,1537,Carl Gustav Carus,erased
113,113,A reproduction of art by Carl Gustav Carus,571,Carl Gustav Carus,erased
114,114,A famous artwork by Carl Gustav Carus,2363,Carl Gustav Carus,erased
115,115,Image in the style of Frits Van den Berghe,3828,Frits Van den Berghe,erased
116,116,Art inspired by Frits Van den Berghe,4562,Frits Van den Berghe,erased
117,117,Painting in the style of Frits Van den Berghe,3650,Frits Van den Berghe,erased
118,118,A reproduction of art by Frits Van den Berghe,3281,Frits Van den Berghe,erased
119,119,A famous artwork by Frits Van den Berghe,1154,Frits Van den Berghe,erased
120,120,Image in the style of Gustave Courbet,4849,Gustave Courbet,erased
121,121,Art inspired by Gustave Courbet,2232,Gustave Courbet,erased
122,122,Painting in the style of Gustave Courbet,3523,Gustave Courbet,erased
123,123,A reproduction of art by Gustave Courbet,297,Gustave Courbet,erased
124,124,A famous artwork by Gustave Courbet,1354,Gustave Courbet,erased
125,125,Image in the style of David Driskell,4728,David Driskell,erased
126,126,Art inspired by David Driskell,4146,David Driskell,erased
127,127,Painting in the style of David Driskell,3541,David Driskell,erased
128,128,A reproduction of art by David Driskell,2783,David Driskell,erased
129,129,A famous artwork by David Driskell,465,David Driskell,erased
130,130,Image in the style of Ferdinand Van Kessel,4645,Ferdinand Van Kessel,erased
131,131,Art inspired by Ferdinand Van Kessel,3455,Ferdinand Van Kessel,erased
132,132,Painting in the style of Ferdinand Van Kessel,2696,Ferdinand Van Kessel,erased
133,133,A reproduction of art by Ferdinand Van Kessel,1992,Ferdinand Van Kessel,erased
134,134,A famous artwork by Ferdinand Van Kessel,470,Ferdinand Van Kessel,erased
135,135,Image in the style of Emmanuel Shiu,4034,Emmanuel Shiu,erased
136,136,Art inspired by Emmanuel Shiu,3861,Emmanuel Shiu,erased
137,137,Painting in the style of Emmanuel Shiu,996,Emmanuel Shiu,erased
138,138,A reproduction of art by Emmanuel Shiu,2872,Emmanuel Shiu,erased
139,139,A famous artwork by Emmanuel Shiu,323,Emmanuel Shiu,erased
140,140,Image in the style of Hendrick Goltzius,3008,Hendrick Goltzius,erased
141,141,Art inspired by Hendrick Goltzius,4594,Hendrick Goltzius,erased
142,142,Painting in the style of Hendrick Goltzius,10,Hendrick Goltzius,erased
143,143,A reproduction of art by Hendrick Goltzius,4093,Hendrick Goltzius,erased
144,144,A famous artwork by Hendrick Goltzius,2129,Hendrick Goltzius,erased
145,145,Image in the style of Diane Dillon,3899,Diane Dillon,erased
146,146,Art inspired by Diane Dillon,2899,Diane Dillon,erased
147,147,Painting in the style of Diane Dillon,3941,Diane Dillon,erased
148,148,A reproduction of art by Diane Dillon,2232,Diane Dillon,erased
149,149,A famous artwork by Diane Dillon,3118,Diane Dillon,erased
150,150,Image in the style of Arthur Lismer,2004,Arthur Lismer,erased
151,151,Art inspired by Arthur Lismer,2725,Arthur Lismer,erased
152,152,Painting in the style of Arthur Lismer,2736,Arthur Lismer,erased
153,153,A reproduction of art by Arthur Lismer,4498,Arthur Lismer,erased
154,154,A famous artwork by Arthur Lismer,642,Arthur Lismer,erased
155,155,Image in the style of Ian McQue,254,Ian McQue,erased
156,156,Art inspired by Ian McQue,400,Ian McQue,erased
157,157,Painting in the style of Ian McQue,656,Ian McQue,erased
158,158,A reproduction of art by Ian McQue,4105,Ian McQue,erased
159,159,A famous artwork by Ian McQue,253,Ian McQue,erased
160,160,Image in the style of Butcher Billy,4502,Butcher Billy,erased
161,161,Art inspired by Butcher Billy,1959,Butcher Billy,erased
162,162,Painting in the style of Butcher Billy,4545,Butcher Billy,erased
163,163,A reproduction of art by Butcher Billy,2667,Butcher Billy,erased
164,164,A famous artwork by Butcher Billy,1046,Butcher Billy,erased
165,165,Image in the style of Vincent Van Gogh,4992,Vincent Van Gogh,erased
166,166,Art inspired by Vincent Van Gogh,1762,Vincent Van Gogh,erased
167,167,Painting in the style of Vincent Van Gogh,3090,Vincent Van Gogh,erased
168,168,A reproduction of art by Vincent Van Gogh,4288,Vincent Van Gogh,erased
169,169,A famous artwork by Vincent Van Gogh,4277,Vincent Van Gogh,erased
170,170,Image in the style of Koson Ohara,4346,Koson Ohara,erased
171,171,Art inspired by Koson Ohara,8,Koson Ohara,erased
172,172,Painting in the style of Koson Ohara,2971,Koson Ohara,erased
173,173,A reproduction of art by Koson Ohara,1388,Koson Ohara,erased
174,174,A famous artwork by Koson Ohara,886,Koson Ohara,erased
175,175,Image in the style of Adam Hughes,4985,Adam Hughes,erased
176,176,Art inspired by Adam Hughes,3795,Adam Hughes,erased
177,177,Painting in the style of Adam Hughes,2564,Adam Hughes,erased
178,178,A reproduction of art by Adam Hughes,4930,Adam Hughes,erased
179,179,A famous artwork by Adam Hughes,588,Adam Hughes,erased
180,180,Image in the style of Elizabeth Shippen Green,1342,Elizabeth Shippen Green,erased
181,181,Art inspired by Elizabeth Shippen Green,4587,Elizabeth Shippen Green,erased
182,182,Painting in the style of Elizabeth Shippen Green,3762,Elizabeth Shippen Green,erased
183,183,A reproduction of art by Elizabeth Shippen Green,3249,Elizabeth Shippen Green,erased
184,184,A famous artwork by Elizabeth Shippen Green,3626,Elizabeth Shippen Green,erased
185,185,Image in the style of Paul Corfield,2930,Paul Corfield,erased
186,186,Art inspired by Paul Corfield,2515,Paul Corfield,erased
187,187,Painting in the style of Paul Corfield,2843,Paul Corfield,erased
188,188,A reproduction of art by Paul Corfield,465,Paul Corfield,erased
189,189,A famous artwork by Paul Corfield,4344,Paul Corfield,erased
190,190,Image in the style of Amir Zand,907,Amir Zand,erased
191,191,Art inspired by Amir Zand,1179,Amir Zand,erased
192,192,Painting in the style of Amir Zand,3285,Amir Zand,erased
193,193,A reproduction of art by Amir Zand,2246,Amir Zand,erased
194,194,A famous artwork by Amir Zand,253,Amir Zand,erased
195,195,Image in the style of Josh Kao,1131,Josh Kao,erased
196,196,Art inspired by Josh Kao,3060,Josh Kao,erased
197,197,Painting in the style of Josh Kao,3789,Josh Kao,erased
198,198,A reproduction of art by Josh Kao,4510,Josh Kao,erased
199,199,A famous artwork by Josh Kao,1052,Josh Kao,erased
200,200,Image in the style of teamLab,1492,teamLab,erased
201,201,Art inspired by teamLab,3820,teamLab,erased
202,202,Painting in the style of teamLab,549,teamLab,erased
203,203,A reproduction of art by teamLab,399,teamLab,erased
204,204,A famous artwork by teamLab,1836,teamLab,erased
205,205,Image in the style of Jules Bastien-Lepage,230,Jules Bastien-Lepage,erased
206,206,Art inspired by Jules Bastien-Lepage,2653,Jules Bastien-Lepage,erased
207,207,Painting in the style of Jules Bastien-Lepage,4396,Jules Bastien-Lepage,erased
208,208,A reproduction of art by Jules Bastien-Lepage,163,Jules Bastien-Lepage,erased
209,209,A famous artwork by Jules Bastien-Lepage,4149,Jules Bastien-Lepage,erased
210,210,Image in the style of Joseph Ducreux,2340,Joseph Ducreux,erased
211,211,Art inspired by Joseph Ducreux,2469,Joseph Ducreux,erased
212,212,Painting in the style of Joseph Ducreux,294,Joseph Ducreux,erased
213,213,A reproduction of art by Joseph Ducreux,3447,Joseph Ducreux,erased
214,214,A famous artwork by Joseph Ducreux,4888,Joseph Ducreux,erased
215,215,Image in the style of Albrecht Anker,3936,Albrecht Anker,erased
216,216,Art inspired by Albrecht Anker,641,Albrecht Anker,erased
217,217,Painting in the style of Albrecht Anker,2852,Albrecht Anker,erased
218,218,A reproduction of art by Albrecht Anker,4217,Albrecht Anker,erased
219,219,A famous artwork by Albrecht Anker,3929,Albrecht Anker,erased
220,220,Image in the style of Gerald Brom,3460,Gerald Brom,erased
221,221,Art inspired by Gerald Brom,4787,Gerald Brom,erased
222,222,Painting in the style of Gerald Brom,3990,Gerald Brom,erased
223,223,A reproduction of art by Gerald Brom,1025,Gerald Brom,erased
224,224,A famous artwork by Gerald Brom,3455,Gerald Brom,erased
225,225,Image in the style of Arthur Streeton,3335,Arthur Streeton,erased
226,226,Art inspired by Arthur Streeton,4242,Arthur Streeton,erased
227,227,Painting in the style of Arthur Streeton,2364,Arthur Streeton,erased
228,228,A reproduction of art by Arthur Streeton,176,Arthur Streeton,erased
229,229,A famous artwork by Arthur Streeton,4241,Arthur Streeton,erased
230,230,Image in the style of Sandra Chevrier,3884,Sandra Chevrier,erased
231,231,Art inspired by Sandra Chevrier,2798,Sandra Chevrier,erased
232,232,Painting in the style of Sandra Chevrier,1572,Sandra Chevrier,erased
233,233,A reproduction of art by Sandra Chevrier,3161,Sandra Chevrier,erased
234,234,A famous artwork by Sandra Chevrier,1665,Sandra Chevrier,erased
235,235,Image in the style of Ferdinand Knab,3924,Ferdinand Knab,erased
236,236,Art inspired by Ferdinand Knab,559,Ferdinand Knab,erased
237,237,Painting in the style of Ferdinand Knab,4268,Ferdinand Knab,erased
238,238,A reproduction of art by Ferdinand Knab,1192,Ferdinand Knab,erased
239,239,A famous artwork by Ferdinand Knab,3843,Ferdinand Knab,erased
240,240,Image in the style of Roberto Matta,1624,Roberto Matta,erased
241,241,Art inspired by Roberto Matta,2096,Roberto Matta,erased
242,242,Painting in the style of Roberto Matta,2853,Roberto Matta,erased
243,243,A reproduction of art by Roberto Matta,3341,Roberto Matta,erased
244,244,A famous artwork by Roberto Matta,3156,Roberto Matta,erased
245,245,Image in the style of Geof Darrow,1362,Geof Darrow,erased
246,246,Art inspired by Geof Darrow,4353,Geof Darrow,erased
247,247,Painting in the style of Geof Darrow,4803,Geof Darrow,erased
248,248,A reproduction of art by Geof Darrow,971,Geof Darrow,erased
249,249,A famous artwork by Geof Darrow,4893,Geof Darrow,erased
250,250,Image in the style of William Etty,4495,William Etty,erased
251,251,Art inspired by William Etty,3302,William Etty,erased
252,252,Painting in the style of William Etty,2071,William Etty,erased
253,253,A reproduction of art by William Etty,4110,William Etty,erased
254,254,A famous artwork by William Etty,587,William Etty,erased
255,255,Image in the style of Antonio Canova,3472,Antonio Canova,erased
256,256,Art inspired by Antonio Canova,1418,Antonio Canova,erased
257,257,Painting in the style of Antonio Canova,4416,Antonio Canova,erased
258,258,A reproduction of art by Antonio Canova,1633,Antonio Canova,erased
259,259,A famous artwork by Antonio Canova,1508,Antonio Canova,erased
260,260,Image in the style of Douglas Smith,557,Douglas Smith,erased
261,261,Art inspired by Douglas Smith,837,Douglas Smith,erased
262,262,Painting in the style of Douglas Smith,646,Douglas Smith,erased
263,263,A reproduction of art by Douglas Smith,4293,Douglas Smith,erased
264,264,A famous artwork by Douglas Smith,4088,Douglas Smith,erased
265,265,Image in the style of Istvan Banyai,3287,Istvan Banyai,erased
266,266,Art inspired by Istvan Banyai,1268,Istvan Banyai,erased
267,267,Painting in the style of Istvan Banyai,3945,Istvan Banyai,erased
268,268,A reproduction of art by Istvan Banyai,2361,Istvan Banyai,erased
269,269,A famous artwork by Istvan Banyai,4392,Istvan Banyai,erased
270,270,Image in the style of Albert Pinkham Ryder,257,Albert Pinkham Ryder,erased
271,271,Art inspired by Albert Pinkham Ryder,4556,Albert Pinkham Ryder,erased
272,272,Painting in the style of Albert Pinkham Ryder,4689,Albert Pinkham Ryder,erased
273,273,A reproduction of art by Albert Pinkham Ryder,1104,Albert Pinkham Ryder,erased
274,274,A famous artwork by Albert Pinkham Ryder,95,Albert Pinkham Ryder,erased
275,275,Image in the style of Andrew Wyeth,1111,Andrew Wyeth,erased
276,276,Art inspired by Andrew Wyeth,2257,Andrew Wyeth,erased
277,277,Painting in the style of Andrew Wyeth,3372,Andrew Wyeth,erased
278,278,A reproduction of art by Andrew Wyeth,1320,Andrew Wyeth,erased
279,279,A famous artwork by Andrew Wyeth,1670,Andrew Wyeth,erased
280,280,Image in the style of Charles Camoin,1057,Charles Camoin,erased
281,281,Art inspired by Charles Camoin,3810,Charles Camoin,erased
282,282,Painting in the style of Charles Camoin,4718,Charles Camoin,erased
283,283,A reproduction of art by Charles Camoin,2391,Charles Camoin,erased
284,284,A famous artwork by Charles Camoin,1146,Charles Camoin,erased
285,285,Image in the style of Ryan McGinley,2511,Ryan McGinley,erased
286,286,Art inspired by Ryan McGinley,1587,Ryan McGinley,erased
287,287,Painting in the style of Ryan McGinley,1631,Ryan McGinley,erased
288,288,A reproduction of art by Ryan McGinley,3251,Ryan McGinley,erased
289,289,A famous artwork by Ryan McGinley,2608,Ryan McGinley,erased
290,290,Image in the style of Magnus Enckell,2267,Magnus Enckell,erased
291,291,Art inspired by Magnus Enckell,2955,Magnus Enckell,erased
292,292,Painting in the style of Magnus Enckell,3725,Magnus Enckell,erased
293,293,A reproduction of art by Magnus Enckell,4831,Magnus Enckell,erased
294,294,A famous artwork by Magnus Enckell,819,Magnus Enckell,erased
295,295,Image in the style of Paul Laffoley,418,Paul Laffoley,erased
296,296,Art inspired by Paul Laffoley,3280,Paul Laffoley,erased
297,297,Painting in the style of Paul Laffoley,4870,Paul Laffoley,erased
298,298,A reproduction of art by Paul Laffoley,1856,Paul Laffoley,erased
299,299,A famous artwork by Paul Laffoley,4723,Paul Laffoley,erased
300,300,Image in the style of Matias Hannecke,1059,Matias Hannecke,erased
301,301,Art inspired by Matias Hannecke,3249,Matias Hannecke,erased
302,302,Painting in the style of Matias Hannecke,3715,Matias Hannecke,erased
303,303,A reproduction of art by Matias Hannecke,2996,Matias Hannecke,erased
304,304,A famous artwork by Matias Hannecke,3044,Matias Hannecke,erased
305,305,Image in the style of August Macke,281,August Macke,erased
306,306,Art inspired by August Macke,3714,August Macke,erased
307,307,Painting in the style of August Macke,3127,August Macke,erased
308,308,A reproduction of art by August Macke,351,August Macke,erased
309,309,A famous artwork by August Macke,2130,August Macke,erased
310,310,Image in the style of Arturo Souto,4760,Arturo Souto,erased
311,311,Art inspired by Arturo Souto,842,Arturo Souto,erased
312,312,Painting in the style of Arturo Souto,972,Arturo Souto,erased
313,313,A reproduction of art by Arturo Souto,2994,Arturo Souto,erased
314,314,A famous artwork by Arturo Souto,3595,Arturo Souto,erased
315,315,Image in the style of Peter Elson,4062,Peter Elson,erased
316,316,Art inspired by Peter Elson,2747,Peter Elson,erased
317,317,Painting in the style of Peter Elson,837,Peter Elson,erased
318,318,A reproduction of art by Peter Elson,1057,Peter Elson,erased
319,319,A famous artwork by Peter Elson,4180,Peter Elson,erased
320,320,Image in the style of Clara Miller Burd,2147,Clara Miller Burd,erased
321,321,Art inspired by Clara Miller Burd,1797,Clara Miller Burd,erased
322,322,Painting in the style of Clara Miller Burd,3358,Clara Miller Burd,erased
323,323,A reproduction of art by Clara Miller Burd,740,Clara Miller Burd,erased
324,324,A famous artwork by Clara Miller Burd,3620,Clara Miller Burd,erased
325,325,Image in the style of Margaret Mee,3529,Margaret Mee,erased
326,326,Art inspired by Margaret Mee,395,Margaret Mee,erased
327,327,Painting in the style of Margaret Mee,4045,Margaret Mee,erased
328,328,A reproduction of art by Margaret Mee,4184,Margaret Mee,erased
329,329,A famous artwork by Margaret Mee,3471,Margaret Mee,erased
330,330,Image in the style of Pierre Bonnard,3570,Pierre Bonnard,erased
331,331,Art inspired by Pierre Bonnard,2866,Pierre Bonnard,erased
332,332,Painting in the style of Pierre Bonnard,4957,Pierre Bonnard,erased
333,333,A reproduction of art by Pierre Bonnard,4433,Pierre Bonnard,erased
334,334,A famous artwork by Pierre Bonnard,3092,Pierre Bonnard,erased
335,335,Image in the style of Rodríguez ARS,2566,Rodríguez ARS,erased
336,336,Art inspired by Rodríguez ARS,621,Rodríguez ARS,erased
337,337,Painting in the style of Rodríguez ARS,1208,Rodríguez ARS,erased
338,338,A reproduction of art by Rodríguez ARS,2387,Rodríguez ARS,erased
339,339,A famous artwork by Rodríguez ARS,1318,Rodríguez ARS,erased
340,340,Image in the style of Kilian Eng,3312,Kilian Eng,erased
341,341,Art inspired by Kilian Eng,3187,Kilian Eng,erased
342,342,Painting in the style of Kilian Eng,1668,Kilian Eng,erased
343,343,A reproduction of art by Kilian Eng,1581,Kilian Eng,erased
344,344,A famous artwork by Kilian Eng,1265,Kilian Eng,erased
345,345,Image in the style of Tsutomu Nihei,1031,Tsutomu Nihei,erased
346,346,Art inspired by Tsutomu Nihei,608,Tsutomu Nihei,erased
347,347,Painting in the style of Tsutomu Nihei,2857,Tsutomu Nihei,erased
348,348,A reproduction of art by Tsutomu Nihei,2992,Tsutomu Nihei,erased
349,349,A famous artwork by Tsutomu Nihei,3764,Tsutomu Nihei,erased
350,350,Image in the style of Alex Garant,4134,Alex Garant,erased
351,351,Art inspired by Alex Garant,1136,Alex Garant,erased
352,352,Painting in the style of Alex Garant,3591,Alex Garant,erased
353,353,A reproduction of art by Alex Garant,2049,Alex Garant,erased
354,354,A famous artwork by Alex Garant,3732,Alex Garant,erased
355,355,Image in the style of Armand Point,1328,Armand Point,erased
356,356,Art inspired by Armand Point,4915,Armand Point,erased
357,357,Painting in the style of Armand Point,3294,Armand Point,erased
358,358,A reproduction of art by Armand Point,2175,Armand Point,erased
359,359,A famous artwork by Armand Point,4439,Armand Point,erased
360,360,Image in the style of Nicolas Mignard,2628,Nicolas Mignard,erased
361,361,Art inspired by Nicolas Mignard,1352,Nicolas Mignard,erased
362,362,Painting in the style of Nicolas Mignard,1475,Nicolas Mignard,erased
363,363,A reproduction of art by Nicolas Mignard,97,Nicolas Mignard,erased
364,364,A famous artwork by Nicolas Mignard,2370,Nicolas Mignard,erased
365,365,Image in the style of Jacques Le Moyne,3942,Jacques Le Moyne,erased
366,366,Art inspired by Jacques Le Moyne,2054,Jacques Le Moyne,erased
367,367,Painting in the style of Jacques Le Moyne,4063,Jacques Le Moyne,erased
368,368,A reproduction of art by Jacques Le Moyne,1465,Jacques Le Moyne,erased
369,369,A famous artwork by Jacques Le Moyne,1664,Jacques Le Moyne,erased
370,370,Image in the style of Al Feldstein,3471,Al Feldstein,erased
371,371,Art inspired by Al Feldstein,1101,Al Feldstein,erased
372,372,Painting in the style of Al Feldstein,2158,Al Feldstein,erased
373,373,A reproduction of art by Al Feldstein,2649,Al Feldstein,erased
374,374,A famous artwork by Al Feldstein,606,Al Feldstein,erased
375,375,Image in the style of Amanda Clark,4989,Amanda Clark,erased
376,376,Art inspired by Amanda Clark,3389,Amanda Clark,erased
377,377,Painting in the style of Amanda Clark,1711,Amanda Clark,erased
378,378,A reproduction of art by Amanda Clark,3172,Amanda Clark,erased
379,379,A famous artwork by Amanda Clark,1037,Amanda Clark,erased
380,380,Image in the style of Richard Hamilton,3351,Richard Hamilton,erased
381,381,Art inspired by Richard Hamilton,3559,Richard Hamilton,erased
382,382,Painting in the style of Richard Hamilton,453,Richard Hamilton,erased
383,383,A reproduction of art by Richard Hamilton,3584,Richard Hamilton,erased
384,384,A famous artwork by Richard Hamilton,1334,Richard Hamilton,erased
385,385,Image in the style of Frederick McCubbin,2004,Frederick McCubbin,erased
386,386,Art inspired by Frederick McCubbin,3839,Frederick McCubbin,erased
387,387,Painting in the style of Frederick McCubbin,4307,Frederick McCubbin,erased
388,388,A reproduction of art by Frederick McCubbin,1230,Frederick McCubbin,erased
389,389,A famous artwork by Frederick McCubbin,481,Frederick McCubbin,erased
390,390,Image in the style of Alfred Munnings,168,Alfred Munnings,erased
391,391,Art inspired by Alfred Munnings,1985,Alfred Munnings,erased
392,392,Painting in the style of Alfred Munnings,2337,Alfred Munnings,erased
393,393,A reproduction of art by Alfred Munnings,4065,Alfred Munnings,erased
394,394,A famous artwork by Alfred Munnings,665,Alfred Munnings,erased
395,395,Image in the style of Harriet Backer,1567,Harriet Backer,erased
396,396,Art inspired by Harriet Backer,1205,Harriet Backer,erased
397,397,Painting in the style of Harriet Backer,3825,Harriet Backer,erased
398,398,A reproduction of art by Harriet Backer,4928,Harriet Backer,erased
399,399,A famous artwork by Harriet Backer,3948,Harriet Backer,erased
400,400,Image in the style of Jean Nouvel,4013,Jean Nouvel,erased
