case_number,prompt,class,evaluation_seed
117,an image of a tench,tench,8384
118,an image of a tench,tench,2359
119,an image of a tench,tench,7622
120,an image of a tench,tench,8610
121,an image of a tench,tench,2892
122,an image of a tench,tench,6481
123,an image of a tench,tench,2496
124,an image of a tench,tench,4531
125,an image of a tench,tench,3374
126,an image of a tench,tench,255
127,an image of a tench,tench,2357
128,an image of a tench,tench,5283
129,an image of a tench,tench,1859
130,an image of a tench,tench,8403
131,an image of a tench,tench,7020
132,an image of a tench,tench,4815
133,an image of a tench,tench,6183
134,an image of a tench,tench,1878
135,an image of a tench,tench,1083
136,an image of a tench,tench,335
137,an image of a tench,tench,4789
138,an image of a tench,tench,5098
139,an image of a tench,tench,8771
140,an image of a tench,tench,382
141,an image of a tench,tench,5636
142,an image of a tench,tench,9582
143,an image of a tench,tench,5925
144,an image of a tench,tench,9211
145,an image of a tench,tench,2418
146,an image of a tench,tench,5935
147,an image of a tench,tench,9474
148,an image of a tench,tench,6517
149,an image of a tench,tench,5826
150,an image of a tench,tench,4154
151,an image of a tench,tench,2954
152,an image of a tench,tench,6363
153,an image of a tench,tench,2517
154,an image of a tench,tench,597
155,an image of a tench,tench,4126
156,an image of a tench,tench,3275
157,an image of a tench,tench,286
158,an image of a tench,tench,9999
159,an image of a tench,tench,147
160,an image of a tench,tench,3225
161,an image of a tench,tench,9409
162,an image of a tench,tench,6993
163,an image of a tench,tench,517
164,an image of a tench,tench,9166
165,an image of a tench,tench,6658
166,an image of a tench,tench,9978
167,an image of a tench,tench,6196
168,an image of a tench,tench,1526
169,an image of a tench,tench,6938
170,an image of a tench,tench,1627
171,an image of a tench,tench,4713
172,an image of a tench,tench,9189
173,an image of a tench,tench,9717
174,an image of a tench,tench,3342
175,an image of a tench,tench,1145
176,an image of a tench,tench,2658
177,an image of a tench,tench,2566
178,an image of a tench,tench,1170
179,an image of a tench,tench,6693
180,an image of a tench,tench,3540
181,an image of a tench,tench,1607
182,an image of a tench,tench,1210
183,an image of a tench,tench,749
184,an image of a tench,tench,1125
185,an image of a tench,tench,1694
186,an image of a tench,tench,760
187,an image of a tench,tench,8298
188,an image of a tench,tench,6463
189,an image of a tench,tench,1435
190,an image of a tench,tench,7352
191,an image of a tench,tench,3297
192,an image of a tench,tench,2548
193,an image of a tench,tench,6677
194,an image of a tench,tench,1277
195,an image of a tench,tench,9481
196,an image of a tench,tench,594
197,an image of a tench,tench,5876
198,an image of a tench,tench,7721
199,an image of a tench,tench,148
200,an image of a tench,tench,6772
201,an image of a tench,tench,2436
202,an image of a tench,tench,165
203,an image of a tench,tench,7467
204,an image of a tench,tench,5196
205,an image of a tench,tench,1897
206,an image of a tench,tench,8736
207,an image of a tench,tench,35
208,an image of a tench,tench,8067
209,an image of a tench,tench,2880
210,an image of a tench,tench,2590
211,an image of a tench,tench,3221
212,an image of a tench,tench,2054
213,an image of a tench,tench,7059
214,an image of a tench,tench,9183
215,an image of a tench,tench,533
216,an image of a tench,tench,5824
217,an image of a tench,tench,4744
218,an image of a tench,tench,3415
219,an image of a tench,tench,7921
220,an image of a tench,tench,2271
221,an image of a tench,tench,9648
222,an image of a tench,tench,5492
223,an image of a tench,tench,7128
224,an image of a tench,tench,9780
225,an image of a tench,tench,7029
226,an image of a tench,tench,335
227,an image of a tench,tench,5331
228,an image of a tench,tench,7887
229,an image of a tench,tench,281
230,an image of a tench,tench,9266
231,an image of a tench,tench,5577
232,an image of a tench,tench,2245
233,an image of a tench,tench,4919
234,an image of a tench,tench,6335
235,an image of a tench,tench,785
236,an image of a tench,tench,2807
237,an image of a tench,tench,6665
238,an image of a tench,tench,9506
239,an image of a tench,tench,2023
240,an image of a tench,tench,133
241,an image of a tench,tench,3599
242,an image of a tench,tench,2789
243,an image of a tench,tench,9412
244,an image of a tench,tench,2430
245,an image of a tench,tench,5699
246,an image of a tench,tench,3836
247,an image of a tench,tench,7599
248,an image of a tench,tench,2134
249,an image of a tench,tench,6047
250,an image of a tench,tench,7735
251,an image of a tench,tench,9037
252,an image of a tench,tench,9828
253,an image of a tench,tench,780
254,an image of a tench,tench,2039
255,an image of a tench,tench,9480
256,an image of a tench,tench,9880
257,an image of a tench,tench,2352
258,an image of a tench,tench,9542
259,an image of a tench,tench,4110
260,an image of a tench,tench,484
261,an image of a tench,tench,4189
262,an image of a tench,tench,889
263,an image of a tench,tench,4301
264,an image of a tench,tench,7060
265,an image of a tench,tench,5823
266,an image of a tench,tench,8524
267,an image of a tench,tench,8351
268,an image of a tench,tench,9015
269,an image of a tench,tench,3830
270,an image of a tench,tench,8419
271,an image of a tench,tench,1814
272,an image of a tench,tench,3394
273,an image of a tench,tench,2289
274,an image of a tench,tench,2728
275,an image of a tench,tench,7621
276,an image of a tench,tench,8793
277,an image of a tench,tench,4384
278,an image of a tench,tench,6719
279,an image of a tench,tench,7733
280,an image of a tench,tench,9454
281,an image of a tench,tench,9237
282,an image of a tench,tench,8544
283,an image of a tench,tench,8834
284,an image of a tench,tench,3692
285,an image of a tench,tench,8091
286,an image of a tench,tench,4601
287,an image of a tench,tench,4099
288,an image of a tench,tench,3706
289,an image of a tench,tench,5447
290,an image of a tench,tench,7985
291,an image of a tench,tench,2665
292,an image of a tench,tench,9849
293,an image of a tench,tench,7527
294,an image of a tench,tench,8635
295,an image of a tench,tench,4156
296,an image of a tench,tench,595
297,an image of a tench,tench,9765
298,an image of a tench,tench,3594
299,an image of a tench,tench,4359
300,an image of a tench,tench,3257
301,an image of a tench,tench,9484
302,an image of a tench,tench,407
303,an image of a tench,tench,4675
304,an image of a tench,tench,21
305,an image of a tench,tench,2003
306,an image of a tench,tench,842
307,an image of a tench,tench,6283
308,an image of a tench,tench,9701
309,an image of a tench,tench,4515
310,an image of a tench,tench,9828
311,an image of a tench,tench,5625
312,an image of a tench,tench,1004
313,an image of a tench,tench,4852
314,an image of a tench,tench,7777
315,an image of a tench,tench,1006
316,an image of a tench,tench,2524
317,an image of a tench,tench,8449
318,an image of a tench,tench,5688
319,an image of a tench,tench,2862
320,an image of a tench,tench,6825
321,an image of a tench,tench,101
322,an image of a tench,tench,4391
323,an image of a tench,tench,5012
324,an image of a tench,tench,8479
325,an image of a tench,tench,6558
326,an image of a tench,tench,5425
327,an image of a tench,tench,1439
328,an image of a tench,tench,1106
329,an image of a tench,tench,3465
330,an image of a tench,tench,9283
331,an image of a tench,tench,6278
332,an image of a tench,tench,5133
333,an image of a tench,tench,4194
334,an image of a tench,tench,5010
335,an image of a tench,tench,9235
336,an image of a tench,tench,4715
337,an image of a tench,tench,8590
338,an image of a tench,tench,9682
339,an image of a tench,tench,4543
340,an image of a tench,tench,7917
341,an image of a tench,tench,6119
342,an image of a tench,tench,5008
343,an image of a tench,tench,7730
344,an image of a tench,tench,7682
345,an image of a tench,tench,5491
346,an image of a tench,tench,4497
347,an image of a tench,tench,3237
348,an image of a tench,tench,5750
349,an image of a tench,tench,9120
350,an image of a tench,tench,3274
351,an image of a tench,tench,6246
352,an image of a tench,tench,701
353,an image of a tench,tench,2308
354,an image of a tench,tench,2469
355,an image of a tench,tench,4109
356,an image of a tench,tench,4957
357,an image of a tench,tench,5736
358,an image of a tench,tench,3531
359,an image of a tench,tench,8559
360,an image of a tench,tench,3436
361,an image of a tench,tench,1997
362,an image of a tench,tench,7571
363,an image of a tench,tench,2930
364,an image of a tench,tench,4140
365,an image of a tench,tench,1626
366,an image of a tench,tench,4019
367,an image of a tench,tench,7375
368,an image of a tench,tench,8880
369,an image of a tench,tench,4658
370,an image of a tench,tench,9262
371,an image of a tench,tench,6849
372,an image of a tench,tench,4251
373,an image of a tench,tench,839
374,an image of a tench,tench,6922
375,an image of a tench,tench,9535
376,an image of a tench,tench,9083
377,an image of a tench,tench,9775
378,an image of a tench,tench,561
379,an image of a tench,tench,4396
380,an image of a tench,tench,896
381,an image of a tench,tench,9435
382,an image of a tench,tench,7844
383,an image of a tench,tench,6011
384,an image of a tench,tench,2734
385,an image of a tench,tench,6840
386,an image of a tench,tench,6653
387,an image of a tench,tench,9336
388,an image of a tench,tench,9372
389,an image of a tench,tench,7089
390,an image of a tench,tench,5852
391,an image of a tench,tench,3842
392,an image of a tench,tench,8093
393,an image of a tench,tench,6296
394,an image of a tench,tench,5987
395,an image of a tench,tench,790
396,an image of a tench,tench,423
397,an image of a tench,tench,9672
398,an image of a tench,tench,8387
399,an image of a tench,tench,9685
400,an image of a tench,tench,7867
401,an image of a tench,tench,7902
402,an image of a tench,tench,7016
403,an image of a tench,tench,8408
404,an image of a tench,tench,8876
405,an image of a tench,tench,8091
406,an image of a tench,tench,7149
407,an image of a tench,tench,8780
408,an image of a tench,tench,931
409,an image of a tench,tench,6684
410,an image of a tench,tench,9917
411,an image of a tench,tench,2187
412,an image of a tench,tench,1330
413,an image of a tench,tench,5228
414,an image of a tench,tench,7244
415,an image of a tench,tench,6649
416,an image of a tench,tench,7403
417,an image of a tench,tench,818
418,an image of a tench,tench,1080
419,an image of a tench,tench,499
420,an image of a tench,tench,6400
421,an image of a tench,tench,798
422,an image of a tench,tench,1587
423,an image of a tench,tench,681
424,an image of a tench,tench,7775
425,an image of a tench,tench,4266
426,an image of a tench,tench,3295
427,an image of a tench,tench,9867
428,an image of a tench,tench,3213
429,an image of a tench,tench,5214
430,an image of a tench,tench,2909
431,an image of a tench,tench,7640
432,an image of a tench,tench,475
433,an image of a tench,tench,6931
434,an image of a tench,tench,439
435,an image of a tench,tench,4644
436,an image of a tench,tench,2239
437,an image of a tench,tench,4243
438,an image of a tench,tench,5587
439,an image of a tench,tench,3083
440,an image of a tench,tench,2141
441,an image of a tench,tench,7
442,an image of a tench,tench,6367
443,an image of a tench,tench,6860
444,an image of a tench,tench,9339
445,an image of a tench,tench,1581
446,an image of a tench,tench,8621
447,an image of a tench,tench,5978
448,an image of a tench,tench,6531
449,an image of a tench,tench,496
450,an image of a tench,tench,8503
451,an image of a tench,tench,4858
452,an image of a tench,tench,7185
453,an image of a tench,tench,1313
454,an image of a tench,tench,1238
455,an image of a tench,tench,5329
456,an image of a tench,tench,9416
457,an image of a tench,tench,3647
458,an image of a tench,tench,8909
459,an image of a tench,tench,2019
460,an image of a tench,tench,7097
461,an image of a tench,tench,2661
462,an image of a tench,tench,6803
463,an image of a tench,tench,8736
464,an image of a tench,tench,6281
465,an image of a tench,tench,1033
466,an image of a tench,tench,9755
467,an image of a tench,tench,5678
468,an image of a tench,tench,680
469,an image of a tench,tench,2759
470,an image of a tench,tench,3492
471,an image of a tench,tench,1340
472,an image of a tench,tench,8791
473,an image of a tench,tench,7496
474,an image of a tench,tench,133
475,an image of a tench,tench,9373
476,an image of a tench,tench,6473
477,an image of a tench,tench,3698
478,an image of a tench,tench,11
479,an image of a tench,tench,5052
480,an image of a tench,tench,3473
481,an image of a tench,tench,4340
482,an image of a tench,tench,7883
483,an image of a tench,tench,5799
484,an image of a tench,tench,9259
485,an image of a tench,tench,5507
486,an image of a tench,tench,6141
487,an image of a tench,tench,8828
488,an image of a tench,tench,2019
489,an image of a tench,tench,7509
490,an image of a tench,tench,3086
491,an image of a tench,tench,5016
492,an image of a tench,tench,1856
493,an image of a tench,tench,3824
494,an image of a tench,tench,7558
495,an image of a tench,tench,7856
496,an image of a tench,tench,7192
497,an image of a tench,tench,6753
498,an image of a tench,tench,8032
499,an image of a tench,tench,8373
500,an image of an English springer,English springer,9765
501,an image of an English springer,English springer,4863
502,an image of an English springer,English springer,1284
503,an image of an English springer,English springer,3552
504,an image of an English springer,English springer,1652
505,an image of an English springer,English springer,5894
506,an image of an English springer,English springer,3616
507,an image of an English springer,English springer,1914
508,an image of an English springer,English springer,3596
509,an image of an English springer,English springer,2436
510,an image of an English springer,English springer,4187
511,an image of an English springer,English springer,558
512,an image of an English springer,English springer,8674
513,an image of an English springer,English springer,6133
514,an image of an English springer,English springer,295
515,an image of an English springer,English springer,2909
516,an image of an English springer,English springer,1026
517,an image of an English springer,English springer,8812
518,an image of an English springer,English springer,8950
519,an image of an English springer,English springer,6172
520,an image of an English springer,English springer,2028
521,an image of an English springer,English springer,4313
522,an image of an English springer,English springer,1685
523,an image of an English springer,English springer,6697
524,an image of an English springer,English springer,8367
525,an image of an English springer,English springer,5965
526,an image of an English springer,English springer,4058
527,an image of an English springer,English springer,1230
528,an image of an English springer,English springer,9960
529,an image of an English springer,English springer,5276
530,an image of an English springer,English springer,5913
531,an image of an English springer,English springer,6796
532,an image of an English springer,English springer,8444
533,an image of an English springer,English springer,3228
534,an image of an English springer,English springer,5596
535,an image of an English springer,English springer,8329
536,an image of an English springer,English springer,4734
537,an image of an English springer,English springer,1866
538,an image of an English springer,English springer,7037
539,an image of an English springer,English springer,4483
540,an image of an English springer,English springer,8324
541,an image of an English springer,English springer,3222
542,an image of an English springer,English springer,1492
543,an image of an English springer,English springer,3695
544,an image of an English springer,English springer,7446
545,an image of an English springer,English springer,3912
546,an image of an English springer,English springer,9392
547,an image of an English springer,English springer,5639
548,an image of an English springer,English springer,5029
549,an image of an English springer,English springer,6746
550,an image of an English springer,English springer,3362
551,an image of an English springer,English springer,2956
552,an image of an English springer,English springer,1171
553,an image of an English springer,English springer,3227
554,an image of an English springer,English springer,8875
555,an image of an English springer,English springer,6937
556,an image of an English springer,English springer,39
557,an image of an English springer,English springer,9840
558,an image of an English springer,English springer,518
559,an image of an English springer,English springer,8818
560,an image of an English springer,English springer,5144
561,an image of an English springer,English springer,9990
562,an image of an English springer,English springer,3208
563,an image of an English springer,English springer,2758
564,an image of an English springer,English springer,175
565,an image of an English springer,English springer,2565
566,an image of an English springer,English springer,9279
567,an image of an English springer,English springer,1424
568,an image of an English springer,English springer,3231
569,an image of an English springer,English springer,3151
570,an image of an English springer,English springer,2896
571,an image of an English springer,English springer,2379
572,an image of an English springer,English springer,5150
573,an image of an English springer,English springer,9432
574,an image of an English springer,English springer,4186
575,an image of an English springer,English springer,1565
576,an image of an English springer,English springer,4708
577,an image of an English springer,English springer,2457
578,an image of an English springer,English springer,956
579,an image of an English springer,English springer,453
580,an image of an English springer,English springer,2226
581,an image of an English springer,English springer,2260
582,an image of an English springer,English springer,7732
583,an image of an English springer,English springer,6769
584,an image of an English springer,English springer,762
585,an image of an English springer,English springer,8473
586,an image of an English springer,English springer,460
587,an image of an English springer,English springer,1400
588,an image of an English springer,English springer,9852
589,an image of an English springer,English springer,392
590,an image of an English springer,English springer,4297
591,an image of an English springer,English springer,9518
592,an image of an English springer,English springer,1273
593,an image of an English springer,English springer,9794
594,an image of an English springer,English springer,9849
595,an image of an English springer,English springer,4624
596,an image of an English springer,English springer,5068
597,an image of an English springer,English springer,2693
598,an image of an English springer,English springer,2235
599,an image of an English springer,English springer,2849
600,an image of an English springer,English springer,4536
601,an image of an English springer,English springer,6557
602,an image of an English springer,English springer,164
603,an image of an English springer,English springer,8394
604,an image of an English springer,English springer,3277
605,an image of an English springer,English springer,3040
606,an image of an English springer,English springer,3271
607,an image of an English springer,English springer,189
608,an image of an English springer,English springer,6711
609,an image of an English springer,English springer,9465
610,an image of an English springer,English springer,3673
611,an image of an English springer,English springer,2433
612,an image of an English springer,English springer,5743
613,an image of an English springer,English springer,666
614,an image of an English springer,English springer,7934
615,an image of an English springer,English springer,5644
616,an image of an English springer,English springer,8517
617,an image of an English springer,English springer,4502
618,an image of an English springer,English springer,957
619,an image of an English springer,English springer,2971
620,an image of an English springer,English springer,8307
621,an image of an English springer,English springer,4575
622,an image of an English springer,English springer,2771
623,an image of an English springer,English springer,5984
624,an image of an English springer,English springer,8944
625,an image of an English springer,English springer,7000
626,an image of an English springer,English springer,679
627,an image of an English springer,English springer,7828
628,an image of an English springer,English springer,8079
629,an image of an English springer,English springer,4827
630,an image of an English springer,English springer,6824
631,an image of an English springer,English springer,2722
632,an image of an English springer,English springer,367
633,an image of an English springer,English springer,1385
634,an image of an English springer,English springer,5913
635,an image of an English springer,English springer,8497
636,an image of an English springer,English springer,2337
637,an image of an English springer,English springer,2068
638,an image of an English springer,English springer,4087
639,an image of an English springer,English springer,9179
640,an image of an English springer,English springer,7074
641,an image of an English springer,English springer,1718
642,an image of an English springer,English springer,9550
643,an image of an English springer,English springer,2359
644,an image of an English springer,English springer,3610
645,an image of an English springer,English springer,3118
646,an image of an English springer,English springer,1370
647,an image of an English springer,English springer,6687
648,an image of an English springer,English springer,1485
649,an image of an English springer,English springer,7917
650,an image of an English springer,English springer,83
651,an image of an English springer,English springer,4924
652,an image of an English springer,English springer,9294
653,an image of an English springer,English springer,7966
654,an image of an English springer,English springer,600
655,an image of an English springer,English springer,5530
656,an image of an English springer,English springer,1456
657,an image of an English springer,English springer,9580
658,an image of an English springer,English springer,5562
659,an image of an English springer,English springer,6781
660,an image of an English springer,English springer,8105
661,an image of an English springer,English springer,3899
662,an image of an English springer,English springer,4716
663,an image of an English springer,English springer,5658
664,an image of an English springer,English springer,2919
665,an image of an English springer,English springer,5762
666,an image of an English springer,English springer,20
667,an image of an English springer,English springer,1858
668,an image of an English springer,English springer,303
669,an image of an English springer,English springer,8024
670,an image of an English springer,English springer,4373
671,an image of an English springer,English springer,9744
672,an image of an English springer,English springer,188
673,an image of an English springer,English springer,5691
674,an image of an English springer,English springer,456
675,an image of an English springer,English springer,5329
676,an image of an English springer,English springer,161
677,an image of an English springer,English springer,9549
678,an image of an English springer,English springer,4360
679,an image of an English springer,English springer,9080
680,an image of an English springer,English springer,2020
681,an image of an English springer,English springer,5543
682,an image of an English springer,English springer,3304
683,an image of an English springer,English springer,2066
684,an image of an English springer,English springer,7458
685,an image of an English springer,English springer,8333
686,an image of an English springer,English springer,5060
687,an image of an English springer,English springer,3546
688,an image of an English springer,English springer,3671
689,an image of an English springer,English springer,335
690,an image of an English springer,English springer,1132
691,an image of an English springer,English springer,1344
692,an image of an English springer,English springer,6439
693,an image of an English springer,English springer,8148
694,an image of an English springer,English springer,6651
695,an image of an English springer,English springer,7198
696,an image of an English springer,English springer,1526
697,an image of an English springer,English springer,9788
698,an image of an English springer,English springer,4725
699,an image of an English springer,English springer,4355
700,an image of an English springer,English springer,7767
701,an image of an English springer,English springer,7767
702,an image of an English springer,English springer,2994
703,an image of an English springer,English springer,9398
704,an image of an English springer,English springer,3000
705,an image of an English springer,English springer,905
706,an image of an English springer,English springer,8028
707,an image of an English springer,English springer,2285
708,an image of an English springer,English springer,1089
709,an image of an English springer,English springer,9397
710,an image of an English springer,English springer,7579
711,an image of an English springer,English springer,8293
712,an image of an English springer,English springer,9769
713,an image of an English springer,English springer,3307
714,an image of an English springer,English springer,2808
715,an image of an English springer,English springer,7652
716,an image of an English springer,English springer,9898
717,an image of an English springer,English springer,2398
718,an image of an English springer,English springer,1228
719,an image of an English springer,English springer,8536
720,an image of an English springer,English springer,8508
721,an image of an English springer,English springer,4490
722,an image of an English springer,English springer,1246
723,an image of an English springer,English springer,6925
724,an image of an English springer,English springer,6716
725,an image of an English springer,English springer,1560
726,an image of an English springer,English springer,6540
727,an image of an English springer,English springer,1466
728,an image of an English springer,English springer,3671
729,an image of an English springer,English springer,4547
730,an image of an English springer,English springer,1623
731,an image of an English springer,English springer,7615
732,an image of an English springer,English springer,8161
733,an image of an English springer,English springer,4483
734,an image of an English springer,English springer,4501
735,an image of an English springer,English springer,5799
736,an image of an English springer,English springer,5703
737,an image of an English springer,English springer,6496
738,an image of an English springer,English springer,4272
739,an image of an English springer,English springer,2499
740,an image of an English springer,English springer,7210
741,an image of an English springer,English springer,3832
742,an image of an English springer,English springer,2179
743,an image of an English springer,English springer,2367
744,an image of an English springer,English springer,7081
745,an image of an English springer,English springer,4386
746,an image of an English springer,English springer,5043
747,an image of an English springer,English springer,6695
748,an image of an English springer,English springer,6702
749,an image of an English springer,English springer,9412
750,an image of an English springer,English springer,6959
751,an image of an English springer,English springer,6757
752,an image of an English springer,English springer,948
753,an image of an English springer,English springer,512
754,an image of an English springer,English springer,9561
755,an image of an English springer,English springer,8559
756,an image of an English springer,English springer,4097
757,an image of an English springer,English springer,1056
758,an image of an English springer,English springer,2392
759,an image of an English springer,English springer,9985
760,an image of an English springer,English springer,2316
761,an image of an English springer,English springer,5763
762,an image of an English springer,English springer,8820
763,an image of an English springer,English springer,6728
764,an image of an English springer,English springer,6333
765,an image of an English springer,English springer,4001
766,an image of an English springer,English springer,2855
767,an image of an English springer,English springer,6378
768,an image of an English springer,English springer,695
769,an image of an English springer,English springer,7033
770,an image of an English springer,English springer,2963
771,an image of an English springer,English springer,4440
772,an image of an English springer,English springer,775
773,an image of an English springer,English springer,8752
774,an image of an English springer,English springer,2315
775,an image of an English springer,English springer,1663
776,an image of an English springer,English springer,3877
777,an image of an English springer,English springer,6699
778,an image of an English springer,English springer,9708
779,an image of an English springer,English springer,6624
780,an image of an English springer,English springer,5033
781,an image of an English springer,English springer,2047
782,an image of an English springer,English springer,8195
783,an image of an English springer,English springer,5362
784,an image of an English springer,English springer,459
785,an image of an English springer,English springer,4280
786,an image of an English springer,English springer,2941
787,an image of an English springer,English springer,4827
788,an image of an English springer,English springer,5930
789,an image of an English springer,English springer,8565
790,an image of an English springer,English springer,1737
791,an image of an English springer,English springer,9971
792,an image of an English springer,English springer,6377
793,an image of an English springer,English springer,3403
794,an image of an English springer,English springer,1536
795,an image of an English springer,English springer,5861
796,an image of an English springer,English springer,4939
797,an image of an English springer,English springer,424
798,an image of an English springer,English springer,417
799,an image of an English springer,English springer,7913
800,an image of an English springer,English springer,1176
801,an image of an English springer,English springer,24
802,an image of an English springer,English springer,8035
803,an image of an English springer,English springer,5426
804,an image of an English springer,English springer,865
805,an image of an English springer,English springer,3993
806,an image of an English springer,English springer,278
807,an image of an English springer,English springer,7251
808,an image of an English springer,English springer,5994
809,an image of an English springer,English springer,6971
810,an image of an English springer,English springer,5339
811,an image of an English springer,English springer,4616
812,an image of an English springer,English springer,5246
813,an image of an English springer,English springer,4357
814,an image of an English springer,English springer,9148
815,an image of an English springer,English springer,4493
816,an image of an English springer,English springer,7493
817,an image of an English springer,English springer,7015
818,an image of an English springer,English springer,8810
819,an image of an English springer,English springer,4074
820,an image of an English springer,English springer,9531
821,an image of an English springer,English springer,4120
822,an image of an English springer,English springer,9999
823,an image of an English springer,English springer,7480
824,an image of an English springer,English springer,5313
825,an image of an English springer,English springer,4326
826,an image of an English springer,English springer,6142
827,an image of an English springer,English springer,1921
828,an image of an English springer,English springer,4406
829,an image of an English springer,English springer,4138
830,an image of an English springer,English springer,5594
831,an image of an English springer,English springer,3957
832,an image of an English springer,English springer,6737
833,an image of an English springer,English springer,6575
834,an image of an English springer,English springer,4475
835,an image of an English springer,English springer,9129
836,an image of an English springer,English springer,384
837,an image of an English springer,English springer,6797
838,an image of an English springer,English springer,805
839,an image of an English springer,English springer,126
840,an image of an English springer,English springer,5756
841,an image of an English springer,English springer,3078
842,an image of an English springer,English springer,5871
843,an image of an English springer,English springer,7138
844,an image of an English springer,English springer,6465
845,an image of an English springer,English springer,5201
846,an image of an English springer,English springer,958
847,an image of an English springer,English springer,8739
848,an image of an English springer,English springer,424
849,an image of an English springer,English springer,1758
850,an image of an English springer,English springer,1572
851,an image of an English springer,English springer,2873
852,an image of an English springer,English springer,6021
853,an image of an English springer,English springer,7032
854,an image of an English springer,English springer,5944
855,an image of an English springer,English springer,4884
856,an image of an English springer,English springer,5406
857,an image of an English springer,English springer,2651
858,an image of an English springer,English springer,9683
859,an image of an English springer,English springer,9417
860,an image of an English springer,English springer,2982
861,an image of an English springer,English springer,4188
862,an image of an English springer,English springer,9444
863,an image of an English springer,English springer,443
864,an image of an English springer,English springer,1190
865,an image of an English springer,English springer,3283
866,an image of an English springer,English springer,2586
867,an image of an English springer,English springer,9758
868,an image of an English springer,English springer,2503
869,an image of an English springer,English springer,3993
870,an image of an English springer,English springer,7091
871,an image of an English springer,English springer,8323
872,an image of an English springer,English springer,9584
873,an image of an English springer,English springer,6465
874,an image of an English springer,English springer,1767
875,an image of an English springer,English springer,2198
876,an image of an English springer,English springer,905
877,an image of an English springer,English springer,323
878,an image of an English springer,English springer,7321
879,an image of an English springer,English springer,6028
880,an image of an English springer,English springer,918
881,an image of an English springer,English springer,3599
882,an image of an English springer,English springer,5070
883,an image of an English springer,English springer,9396
884,an image of an English springer,English springer,8272
885,an image of an English springer,English springer,1534
